goalid,teamid,period,goaltime,scorer,assist1,assist2,gameid,goaldate,seconds
2023102916:39NJ6,NJ,2ND,1900-01-01 16:39:00,Jesper Bratt,Timo Meier,Luke Hughes,20231029MIN@NJ,2023-10-29,2199
2023102916:52BUF4,BUF,3RD,1900-01-01 16:52:00,Rasmus Dahlin,Tage Thompson,None,20231029COL@BUF,2023-10-29,3412
2023102919:02WAS4,WAS,3RD,1900-01-01 19:02:00,Evgeny Kuznetsov,Alex Ovechkin,John Carlson,20231029SJ@WAS,2023-10-29,3542
2023102919:13EDM7,EDM,3RD,1900-01-01 19:13:00,Evander Kane,Derek Ryan,None,20231029CGY@EDM,2023-10-29,3553
2023103001:05NYI2,NYI,3RD,1900-01-01 01:05:00,Noah Dobson,Pierre Engvall,None,20231030DET@NYI,2023-10-30,2465
2023103001:25DET7,DET,OVE,1900-01-01 01:25:00,Lucas Raymond,J.T. Compher,None,20231030DET@NYI,2023-10-30,3685
2023103001:25PIT5,PIT,3RD,1900-01-01 01:25:00,Radim Zohorna,Drew O'Connor,Lars Eller,20231030ANA@PIT,2023-10-30,2485
2023103002:23ARI2,ARI,1ST,1900-01-01 02:23:00,Michael Carcone,Logan Cooley,Sean Durzi,20231030CHI@ARI,2023-10-30,143
2023103002:49DAL5,DAL,3RD,1900-01-01 02:49:00,Matt Duchene,Ryan Suter,Mason Marchment,20231030CLB@DAL,2023-10-30,2569
2023103002:53SEA7,SEA,OVE,1900-01-01 02:53:00,Jared McCann,Vince Dunn,Oliver Bjorkstrand,20231030SEA@TB,2023-10-30,3773
2023103002:55PIT1,PIT,1ST,1900-01-01 02:55:00,Erik Karlsson,Evgeni Malkin,Reilly Smith,20231030ANA@PIT,2023-10-30,175
2023103003:01ANA6,ANA,3RD,1900-01-01 03:01:00,Mason McTavish,Ryan Strome,Pavel Mintyukov,20231030ANA@PIT,2023-10-30,2581
2023103003:11CAR1,CAR,1ST,1900-01-01 03:11:00,Stefan Noesen,Andrei Svechnikov,Dmitry Orlov,20231030CAR@PHI,2023-10-30,191
2023103003:36BOS5,BOS,OVE,1900-01-01 03:36:00,Pavel Zacha,None,None,20231030FLA@BOS,2023-10-30,3816
2023103003:38BOS3,BOS,2ND,1900-01-01 03:38:00,Brad Marchand,Jake DeBrusk,Charlie Coyle,20231030FLA@BOS,2023-10-30,1418
2023103003:40TB5,TB,2ND,1900-01-01 03:40:00,Alex Barre-Boulet,Brandon Hagel,Tanner Jeannot,20231030SEA@TB,2023-10-30,1420
2023103004:34NYR5,NYR,OVE,1900-01-01 04:34:00,Mika Zibanejad,Artemi Panarin,K'Andre Miller,20231030NYR@WPG,2023-10-30,3874
2023103004:37CLB2,CLB,1ST,1900-01-01 04:37:00,Dmitri Voronkov,None,None,20231030CLB@DAL,2023-10-30,277
2023103005:00ARI5,ARI,2ND,1900-01-01 05:00:00,Michael Carcone,Travis Boyd,None,20231030CHI@ARI,2023-10-30,1500
2023103005:00LV6,LV,SHO,1900-01-01 05:00:00,Jonathan Marchessault,None,None,20231030MON@LV,2023-10-30,4200
2023103005:00LV7,LV,SHO,1900-01-01 05:00:00,Shea Theodore,None,None,20231030MON@LV,2023-10-30,4200
2023103005:00MON5,MON,SHO,1900-01-01 05:00:00,Nick Suzuki,None,None,20231030MON@LV,2023-10-30,4200
2023103005:08WPG3,WPG,3RD,1900-01-01 05:08:00,Nikolaj Ehlers,Cole Perfetti,Mark Scheifele,20231030NYR@WPG,2023-10-30,2708
2023103005:38MON2,MON,2ND,1900-01-01 05:38:00,Sean Monahan,None,None,20231030MON@LV,2023-10-30,1538
2023103005:52DAL4,DAL,2ND,1900-01-01 05:52:00,Roope Hintz,Jason Robertson,Nils Lundkvist,20231030CLB@DAL,2023-10-30,1552
2023103006:13FLA1,FLA,1ST,1900-01-01 06:13:00,Aleksander Barkov,Sam Reinhart,Niko Mikkola,20231030FLA@BOS,2023-10-30,373
2023103006:38ARI6,ARI,2ND,1900-01-01 06:38:00,Jack McBain,Alexander Kerfoot,Liam O'Brien,20231030CHI@ARI,2023-10-30,1598
2023103007:20BOS4,BOS,3RD,1900-01-01 07:20:00,Charlie McAvoy,David Pastrnak,Pavel Zacha,20231030FLA@BOS,2023-10-30,2840
2023103007:55DET3,DET,3RD,1900-01-01 07:55:00,Daniel Sprong,Michael Rasmussen,Jake Walman,20231030DET@NYI,2023-10-30,2875
2023103008:28ANA2,ANA,1ST,1900-01-01 08:28:00,Jakob Silfverberg,Max Jones,Pavel Mintyukov,20231030ANA@PIT,2023-10-30,508
2023103009:02CAR4,CAR,2ND,1900-01-01 09:02:00,Michael Bunting,Stefan Noesen,None,20231030CAR@PHI,2023-10-30,1742
2023103009:35DET4,DET,3RD,1900-01-01 09:35:00,Jake Walman,Moritz Seider,Lucas Raymond,20231030DET@NYI,2023-10-30,2975
2023103010:37ARI9,ARI,3RD,1900-01-01 10:37:00,Jack McBain,Alexander Kerfoot,None,20231030CHI@ARI,2023-10-30,3037
2023103011:18ARI7,ARI,2ND,1900-01-01 11:18:00,Sean Durzi,Michael Carcone,Travis Boyd,20231030CHI@ARI,2023-10-30,1878
2023103011:43DET5,DET,3RD,1900-01-01 11:43:00,J.T. Compher,Moritz Seider,Andrew Copp,20231030DET@NYI,2023-10-30,3103
2023103011:51ANA3,ANA,2ND,1900-01-01 11:51:00,Frank Vatrano,Cam Fowler,Mason McTavish,20231030ANA@PIT,2023-10-30,1911
2023103012:08SEA1,SEA,1ST,1900-01-01 12:08:00,Brian Dumoulin,Justin Schultz,Jaden Schwartz,20231030SEA@TB,2023-10-30,728
