goalid,teamid,period,goaltime,scorer,assist1,assist2,gameid,goaldate,seconds
2023101419:54OTT6,OTT,2ND,1900-01-01 19:54:00,Brady Tkachuk,Claude Giroux,None,20231014PHI@OTT,2023-10-14,2394
2023101419:58LV1,LV,1ST,1900-01-01 19:58:00,Jack Eichel,Shea Theodore,Chandler Stephenson,20231014ANA@LV,2023-10-14,1198
2023101419:59DET10,DET,3RD,1900-01-01 19:59:00,Moritz Seider,J.T. Compher,None,20231014TB@DET,2023-10-14,3599
2023101425.0FLA3,FLA,2ND,1900-01-01 00:25:00,Evan Rodrigues,Dmitry Kulikov,Aleksander Barkov,20231014FLA@WPG,2023-10-14,1225
2023101435.0CHI4,CHI,3RD,1900-01-01 00:35:00,Tyler Johnson,Seth Jones,Taylor Raddysh,20231014CHI@MON,2023-10-14,2435
2023101435.0WPG4,WPG,2ND,1900-01-01 00:35:00,Kyle Connor,Mark Scheifele,Gabriel Vilardi,20231014FLA@WPG,2023-10-14,1235
2023101440.0SEA1,SEA,2ND,1900-01-01 00:40:00,Jaden Schwartz,Oliver Bjorkstrand,Vince Dunn,20231014SEA@STL,2023-10-14,1240
2023101441.0PIT3,PIT,3RD,1900-01-01 00:41:00,Reilly Smith,Evgeni Malkin,Ryan Graves,20231014CGY@PIT,2023-10-14,2441
2023101442.0EDM1,EDM,1ST,1900-01-01 00:42:00,Leon Draisaitl,Ryan Nugent-Hopkins,Zach Hyman,20231014VAN@EDM,2023-10-14,42
2023101450.0NYR1,NYR,1ST,1900-01-01 00:50:00,Erik Gustafsson,Adam Fox,Jimmy Vesey,20231014NYR@CLB,2023-10-14,50
2023101501:00TB2,TB,2ND,1900-01-01 01:00:00,Anthony Cirelli,Darren Raddysh,Tanner Jeannot,20231015TB@OTT,2023-10-15,1260
2023101503:01CAR6,CAR,3RD,1900-01-01 03:01:00,Teuvo Teravainen,Brent Burns,Dmitry Orlov,20231015CAR@ANA,2023-10-15,2581
2023101506:52ANA1,ANA,1ST,1900-01-01 06:52:00,Sam Carrick,Brett Leason,None,20231015CAR@ANA,2023-10-15,412
2023101507:02OTT1,OTT,1ST,1900-01-01 07:02:00,Vladimir Tarasenko,Ridly Greig,Jakob Chychrun,20231015TB@OTT,2023-10-15,422
2023101508:31ANA2,ANA,1ST,1900-01-01 08:31:00,Frank Vatrano,Jamie Drysdale,Cam Fowler,20231015CAR@ANA,2023-10-15,511
2023101508:48OTT3,OTT,2ND,1900-01-01 08:48:00,Brady Tkachuk,Claude Giroux,None,20231015TB@OTT,2023-10-15,1728
2023101512:06ANA3,ANA,1ST,1900-01-01 12:06:00,Pavel Mintyukov,Jackson LaCombe,Ryan Strome,20231015CAR@ANA,2023-10-15,726
2023101512:53OTT6,OTT,3RD,1900-01-01 12:53:00,Brady Tkachuk,Jake Sanderson,Artem Zub,20231015TB@OTT,2023-10-15,3173
2023101513:00TB4,TB,2ND,1900-01-01 13:00:00,Tanner Jeannot,Mikey Eyssimont,Victor Hedman,20231015TB@OTT,2023-10-15,1980
2023101513:52CAR4,CAR,2ND,1900-01-01 13:52:00,Teuvo Teravainen,Brady Skjei,Brett Pesce,20231015CAR@ANA,2023-10-15,2032
2023101515:29CAR7,CAR,3RD,1900-01-01 15:29:00,Martin Necas,Michael Bunting,Tony DeAngelo,20231015CAR@ANA,2023-10-15,3329
2023101516:44ANA5,ANA,2ND,1900-01-01 16:44:00,Frank Vatrano,Ryan Strome,Mason McTavish,20231015CAR@ANA,2023-10-15,2204
2023101517:17OTT7,OTT,3RD,1900-01-01 17:17:00,Tim Stutzle,Brady Tkachuk,Joonas Korpisalo,20231015TB@OTT,2023-10-15,3437
2023101518:03ANA8,ANA,3RD,1900-01-01 18:03:00,Cam Fowler,Troy Terry,Adam Henrique,20231015CAR@ANA,2023-10-15,3483
2023101518:41ANA9,ANA,3RD,1900-01-01 18:41:00,Frank Vatrano,Mason McTavish,None,20231015CAR@ANA,2023-10-15,3521
2023101519:01OTT5,OTT,2ND,1900-01-01 19:01:00,Mathieu Joseph,Vladimir Tarasenko,None,20231015TB@OTT,2023-10-15,2341
2023101602:59CHI1,CHI,2ND,1900-01-01 02:59:00,MacKenzie Entwistle,Andreas Athanasiou,Boris Katchouk,20231016CHI@TOR,2023-10-16,1379
2023101603:35NJ5,NJ,3RD,1900-01-01 03:35:00,Erik Haula,Jack Hughes,Jesper Bratt,20231016FLA@NJ,2023-10-16,2615
2023101603:54FLA1,FLA,1ST,1900-01-01 03:54:00,Sam Reinhart,Evan Rodrigues,None,20231016FLA@NJ,2023-10-16,234
2023101604:47CGY1,CGY,1ST,1900-01-01 04:47:00,Adam Ruzicka,Noah Hanifin,Dillon Dube,20231016CGY@WAS,2023-10-16,287
2023101605:00ARI2,ARI,2ND,1900-01-01 05:00:00,Clayton Keller,Nick Schmaltz,Logan Cooley,20231016ARI@NYR,2023-10-16,1500
2023101605:00WAS5,WAS,SHO,1900-01-01 05:00:00,Evgeny Kuznetsov,None,None,20231016CGY@WAS,2023-10-16,4200
2023101605:14TOR2,TOR,2ND,1900-01-01 05:14:00,John Tavares,William Nylander,Mark Giordano,20231016CHI@TOR,2023-10-16,1514
2023101606:50WAS3,WAS,2ND,1900-01-01 06:50:00,Matthew Phillips,Sonny Milano,None,20231016CGY@WAS,2023-10-16,1610
2023101607:45DET2,DET,2ND,1900-01-01 07:45:00,Michael Rasmussen,J.T. Compher,None,20231016DET@CLB,2023-10-16,1665
2023101608:26NYR3,NYR,3RD,1900-01-01 08:26:00,Vincent Trocheck,Artemi Panarin,Adam Fox,20231016ARI@NYR,2023-10-16,2906
2023101608:51DET1,DET,1ST,1900-01-01 08:51:00,Shayne Gostisbehere,Joseph Veleno,Olli Maatta,20231016DET@CLB,2023-10-16,531
2023101608:51NJ6,NJ,3RD,1900-01-01 08:51:00,Michael McLeod,Erik Haula,Alexander Holtz,20231016FLA@NJ,2023-10-16,2931
2023101609:54WAS4,WAS,2ND,1900-01-01 09:54:00,Connor McMichael,Matthew Phillips,John Carlson,20231016CGY@WAS,2023-10-16,1794
2023101611:11DET3,DET,2ND,1900-01-01 11:11:00,Dylan Larkin,Alex DeBrincat,Moritz Seider,20231016DET@CLB,2023-10-16,1871
2023101611:18FLA3,FLA,2ND,1900-01-01 11:18:00,Niko Mikkola,Matthew Tkachuk,Dmitry Kulikov,20231016FLA@NJ,2023-10-16,1878
2023101612:07DET4,DET,2ND,1900-01-01 12:07:00,Andrew Copp,Lucas Raymond,Jake Walman,20231016DET@CLB,2023-10-16,1927
2023101613:12FLA2,FLA,1ST,1900-01-01 13:12:00,Carter Verhaeghe,Matthew Tkachuk,Josh Mahura,20231016FLA@NJ,2023-10-16,792
2023101614:11NYR1,NYR,1ST,1900-01-01 14:11:00,Chris Kreider,Mika Zibanejad,Kaapo Kakko,20231016ARI@NYR,2023-10-16,851
2023101614:46CHI3,CHI,2ND,1900-01-01 14:46:00,Corey Perry,Alex Vlasic,Seth Jones,20231016CHI@TOR,2023-10-16,2086
2023101617:05CHI4,CHI,2ND,1900-01-01 17:05:00,Tyler Johnson,Andreas Athanasiou,Kevin Korchinski,20231016CHI@TOR,2023-10-16,2225
2023101617:12CGY2,CGY,1ST,1900-01-01 17:12:00,Dillon Dube,Noah Hanifin,Adam Ruzicka,20231016CGY@WAS,2023-10-16,1032
2023101617:37NJ7,NJ,3RD,1900-01-01 17:37:00,Jesper Bratt,Dougie Hamilton,None,20231016FLA@NJ,2023-10-16,3457
2023101619:54CHI5,CHI,3RD,1900-01-01 19:54:00,Taylor Raddysh,None,None,20231016CHI@TOR,2023-10-16,3594
2023101659.0FLA4,FLA,3RD,1900-01-01 00:59:00,Sam Reinhart,Oliver Ekman-Larsson,Aleksander Barkov,20231016FLA@NJ,2023-10-16,2459
2023101701:45PHI1,PHI,1ST,1900-01-01 01:45:00,Egor Zamula,Travis Konecny,Scott Laughton,20231017VAN@PHI,2023-10-17,105
2023101701:46BUF5,BUF,OVE,1900-01-01 01:46:00,Dylan Cozens,Jordan Greenway,Rasmus Dahlin,20231017TB@BUF,2023-10-17,3706
2023101702:08NSH5,NSH,2ND,1900-01-01 02:08:00,Tommy Novak,Ryan O'Reilly,None,20231017EDM@NSH,2023-10-17,1328
2023101702:17MIN3,MIN,2ND,1900-01-01 02:17:00,Joel Eriksson Ek,Mats Zuccarello,Kirill Kaprizov,20231017MIN@MON,2023-10-17,1337
2023101702:50DAL3,DAL,3RD,1900-01-01 02:50:00,Joe Pavelski,Roope Hintz,None,20231017DAL@LV,2023-10-17,2570
2023101702:51LA3,LA,3RD,1900-01-01 02:51:00,Arthur Kaliyev,Trevor Moore,Phillip Danault,20231017LA@WPG,2023-10-17,2571
2023101703:14SJ1,SJ,1ST,1900-01-01 03:14:00,Fabian Zetterlund,Tomas Hertl,None,20231017CAR@SJ,2023-10-17,194
2023101703:47NYI1,NYI,2ND,1900-01-01 03:47:00,Mathew Barzal,Noah Dobson,Kyle Palmieri,20231017ARI@NYI,2023-10-17,1427
2023101703:50COL2,COL,2ND,1900-01-01 03:50:00,Artturi Lehkonen,None,None,20231017COL@SEA,2023-10-17,1430
2023101704:06CAR2,CAR,1ST,1900-01-01 04:06:00,Seth Jarvis,Michael Bunting,Teuvo Teravainen,20231017CAR@SJ,2023-10-17,246
2023101705:00DAL6,DAL,SHO,1900-01-01 05:00:00,Matt Duchene,None,None,20231017DAL@LV,2023-10-17,4200
2023101705:00LV5,LV,SHO,1900-01-01 05:00:00,Shea Theodore,None,None,20231017DAL@LV,2023-10-17,4200
2023101705:00LV7,LV,SHO,1900-01-01 05:00:00,Jonathan Marchessault,None,None,20231017DAL@LV,2023-10-17,4200
2023101705:20MIN6,MIN,3RD,1900-01-01 05:20:00,Joel Eriksson Ek,Kirill Kaprizov,Mats Zuccarello,20231017MIN@MON,2023-10-17,2720
2023101705:52DAL1,DAL,2ND,1900-01-01 05:52:00,Craig Smith,Tyler Seguin,Thomas Harley,20231017DAL@LV,2023-10-17,1552
2023101707:53EDM6,EDM,2ND,1900-01-01 07:53:00,Leon Draisaitl,Evan Bouchard,Connor McDavid,20231017EDM@NSH,2023-10-17,1673
2023101708:11EDM1,EDM,1ST,1900-01-01 08:11:00,Leon Draisaitl,Zach Hyman,Ryan Nugent-Hopkins,20231017EDM@NSH,2023-10-17,491
2023101708:54CAR3,CAR,2ND,1900-01-01 08:54:00,Jaccob Slavin,None,None,20231017CAR@SJ,2023-10-17,1734
2023101708:57BUF1,BUF,1ST,1900-01-01 08:57:00,Zemgus Girgensons,Tyson Jost,Mattias Samuelsson,20231017TB@BUF,2023-10-17,537
2023101709:07CAR6,CAR,3RD,1900-01-01 09:07:00,Stefan Noesen,Jesperi Kotkaniemi,Brady Skjei,20231017CAR@SJ,2023-10-17,2947
2023101709:11SJ4,SJ,2ND,1900-01-01 09:11:00,Filip Zadina,Fabian Zetterlund,None,20231017CAR@SJ,2023-10-17,1751
2023101709:20MIN1,MIN,1ST,1900-01-01 09:20:00,Brandon Duhaime,Jacob Middleton,None,20231017MIN@MON,2023-10-17,560
2023101709:45MIN2,MIN,1ST,1900-01-01 09:45:00,Connor Dewar,None,None,20231017MIN@MON,2023-10-17,585
2023101709:47MON4,MON,2ND,1900-01-01 09:47:00,Tanner Pearson,None,None,20231017MIN@MON,2023-10-17,1787
2023101711:01LA1,LA,2ND,1900-01-01 11:01:00,Pierre-Luc Dubois,Anze Kopitar,Kevin Fiala,20231017LA@WPG,2023-10-17,1861
2023101711:50COL3,COL,2ND,1900-01-01 11:50:00,Logan O'Connor,Cale Makar,Devon Toews,20231017COL@SEA,2023-10-17,1910
2023101711:51CAR7,CAR,3RD,1900-01-01 11:51:00,Seth Jarvis,Martin Necas,Brent Burns,20231017CAR@SJ,2023-10-17,3111
2023101713:03LV2,LV,2ND,1900-01-01 13:03:00,Kaedan Korczak,Brett Howden,William Karlsson,20231017DAL@LV,2023-10-17,1983
2023101713:38EDM2,EDM,1ST,1900-01-01 13:38:00,Zach Hyman,Evan Bouchard,Leon Draisaitl,20231017EDM@NSH,2023-10-17,818
2023101713:45COL4,COL,3RD,1900-01-01 13:45:00,Mikko Rantanen,Samuel Girard,Andrew Cogliano,20231017COL@SEA,2023-10-17,3225
2023101714:31LA4,LA,3RD,1900-01-01 14:31:00,Trevor Moore,Mikey Anderson,None,20231017LA@WPG,2023-10-17,3271
2023101714:53CAR8,CAR,3RD,1900-01-01 14:53:00,Martin Necas,Michael Bunting,Brady Skjei,20231017CAR@SJ,2023-10-17,3293
2023101715:08CAR9,CAR,3RD,1900-01-01 15:08:00,Brett Pesce,Jesperi Kotkaniemi,Stefan Noesen,20231017CAR@SJ,2023-10-17,3308
2023101715:09SEA1,SEA,1ST,1900-01-01 15:09:00,Kailer Yamamoto,Vince Dunn,None,20231017COL@SEA,2023-10-17,909
2023101715:27EDM7,EDM,2ND,1900-01-01 15:27:00,Warren Foegele,Ryan Nugent-Hopkins,Zach Hyman,20231017EDM@NSH,2023-10-17,2127
2023101715:28BUF2,BUF,1ST,1900-01-01 15:28:00,Jeff Skinner,Owen Power,Alex Tuch,20231017TB@BUF,2023-10-17,928
2023101716:06SJ5,SJ,2ND,1900-01-01 16:06:00,William Eklund,Henry Thrun,Tomas Hertl,20231017CAR@SJ,2023-10-17,2166
2023101716:19LA2,LA,2ND,1900-01-01 16:19:00,Trevor Moore,Phillip Danault,Arthur Kaliyev,20231017LA@WPG,2023-10-17,2179
2023101716:32LA5,LA,3RD,1900-01-01 16:32:00,Phillip Danault,Quinton Byfield,None,20231017LA@WPG,2023-10-17,3392
2023101716:45EDM3,EDM,1ST,1900-01-01 16:45:00,Ryan Nugent-Hopkins,Warren Foegele,Zach Hyman,20231017EDM@NSH,2023-10-17,1005
2023101716:46COL5,COL,3RD,1900-01-01 16:46:00,Valeri Nichushkin,None,None,20231017COL@SEA,2023-10-17,3406
2023101717:01LV4,LV,3RD,1900-01-01 17:01:00,William Karlsson,Kaedan Korczak,Mark Stone,20231017DAL@LV,2023-10-17,3421
2023101717:22MIN5,MIN,2ND,1900-01-01 17:22:00,Kirill Kaprizov,Mats Zuccarello,Calen Addison,20231017MIN@MON,2023-10-17,2242
2023101717:23PHI2,PHI,1ST,1900-01-01 17:23:00,Sean Couturier,None,None,20231017VAN@PHI,2023-10-17,1043
2023101717:35MON7,MON,3RD,1900-01-01 17:35:00,Alex Newhook,David Savard,Cole Caufield,20231017MIN@MON,2023-10-17,3455
2023101717:46EDM4,EDM,1ST,1900-01-01 17:46:00,Connor McDavid,Leon Draisaitl,Evander Kane,20231017EDM@NSH,2023-10-17,1066
2023101717:58TB3,TB,2ND,1900-01-01 17:58:00,Brandon Hagel,Tanner Jeannot,Anthony Cirelli,20231017TB@BUF,2023-10-17,2278
2023101718:44WPG6,WPG,3RD,1900-01-01 18:44:00,Mark Scheifele,Dylan DeMelo,Vladislav Namestnikov,20231017LA@WPG,2023-10-17,3524
2023101719:53TB4,TB,3RD,1900-01-01 19:53:00,Brandon Hagel,Brayden Point,None,20231017TB@BUF,2023-10-17,3593
2023101801:47OTT4,OTT,2ND,1900-01-01 01:47:00,Josh Norris,Drake Batherson,None,20231018WAS@OTT,2023-10-18,1307
2023101803:37PIT6,PIT,3RD,1900-01-01 03:37:00,Erik Karlsson,Sidney Crosby,Ryan Graves,20231018PIT@DET,2023-10-18,2617
2023101804:28OTT1,OTT,1ST,1900-01-01 04:28:00,Vladimir Tarasenko,Ridly Greig,Mathieu Joseph,20231018WAS@OTT,2023-10-18,268
2023101804:47OTT5,OTT,2ND,1900-01-01 04:47:00,Artem Zub,Jake Sanderson,Vladimir Tarasenko,20231018WAS@OTT,2023-10-18,1487
2023101805:21DET3,DET,2ND,1900-01-01 05:21:00,Ben Chiarot,Dylan Larkin,Jeff Petry,20231018PIT@DET,2023-10-18,1521
2023101811:48OTT7,OTT,3RD,1900-01-01 11:48:00,Jake Sanderson,Tim Stutzle,Claude Giroux,20231018WAS@OTT,2023-10-18,3108
2023101812:23DET2,DET,1ST,1900-01-01 12:23:00,Alex DeBrincat,Austin Czarnik,Shayne Gostisbehere,20231018PIT@DET,2023-10-18,743
2023101812:29OTT2,OTT,1ST,1900-01-01 12:29:00,Josh Norris,Drake Batherson,Tim Stutzle,20231018WAS@OTT,2023-10-18,749
2023101813:03PIT7,PIT,3RD,1900-01-01 13:03:00,Bryan Rust,Erik Karlsson,Marcus Pettersson,20231018PIT@DET,2023-10-18,3183
2023101815:42DET4,DET,2ND,1900-01-01 15:42:00,Andrew Copp,Jeff Petry,Michael Rasmussen,20231018PIT@DET,2023-10-18,2142
2023101815:47OTT6,OTT,2ND,1900-01-01 15:47:00,Claude Giroux,Thomas Chabot,Tim Stutzle,20231018WAS@OTT,2023-10-18,2147
2023101817:49DET5,DET,2ND,1900-01-01 17:49:00,David Perron,Dylan Larkin,Alex DeBrincat,20231018PIT@DET,2023-10-18,2269
2023101818:28DET8,DET,3RD,1900-01-01 18:28:00,Andrew Copp,None,None,20231018PIT@DET,2023-10-18,3508
2023101818:49DET9,DET,3RD,1900-01-01 18:49:00,Alex DeBrincat,Dylan Larkin,None,20231018PIT@DET,2023-10-18,3529
2023101818:54WAS3,WAS,1ST,1900-01-01 18:54:00,John Carlson,Alex Ovechkin,Tom Wilson,20231018WAS@OTT,2023-10-18,1134
2023101853.0PIT1,PIT,1ST,1900-01-01 00:53:00,Evgeni Malkin,Reilly Smith,Erik Karlsson,20231018PIT@DET,2023-10-18,53
2023101901:01ANA4,ANA,3RD,1900-01-01 01:01:00,Leo Carlsson,Troy Terry,None,20231019DAL@ANA,2023-10-19,2461
2023101901:02VAN3,VAN,2ND,1900-01-01 01:02:00,Tyler Myers,Elias Pettersson,None,20231019VAN@TB,2023-10-19,1262
2023101901:08CAR6,CAR,3RD,1900-01-01 01:08:00,Seth Jarvis,Stefan Noesen,Jaccob Slavin,20231019CAR@SEA,2023-10-19,2468
2023101901:30WPG1,WPG,1ST,1900-01-01 01:30:00,Alex Iafallo,Josh Morrissey,Nino Niederreiter,20231019LV@WPG,2023-10-19,90
2023101901:52CGY5,CGY,3RD,1900-01-01 01:52:00,Blake Coleman,Matthew Coronato,Dennis Gilbert,20231019CGY@BUF,2023-10-19,2512
2023101902:09ARI6,ARI,3RD,1900-01-01 02:09:00,Jason Zucker,Matias Maccelli,Juuso Valimaki,20231019ARI@STL,2023-10-19,2529
2023101902:34ARI2,ARI,2ND,1900-01-01 02:34:00,Clayton Keller,Nick Schmaltz,None,20231019ARI@STL,2023-10-19,1354
2023101902:38SEA5,SEA,2ND,1900-01-01 02:38:00,Vince Dunn,Andre Burakovsky,Oliver Bjorkstrand,20231019CAR@SEA,2023-10-19,1358
2023101902:39LA1,LA,1ST,1900-01-01 02:39:00,Carl Grundstrom,Drew Doughty,None,20231019LA@MIN,2023-10-19,159
2023101903:14BUF6,BUF,3RD,1900-01-01 03:14:00,John-Jason Peterka,Dylan Cozens,Henri Jokiharju,20231019CGY@BUF,2023-10-19,2594
2023101903:16STL7,STL,3RD,1900-01-01 03:16:00,Sammy Blais,Jakub Vrana,None,20231019ARI@STL,2023-10-19,2596
2023101903:32NSH3,NSH,2ND,1900-01-01 03:32:00,Ryan O'Reilly,Luke Evangelista,Filip Forsberg,20231019NSH@NYR,2023-10-19,1412
2023101903:54PHI2,PHI,2ND,1900-01-01 03:54:00,Cam Atkinson,Owen Tippett,None,20231019EDM@PHI,2023-10-19,1434
2023101904:17PHI5,PHI,3RD,1900-01-01 04:17:00,Cam Atkinson,Owen Tippett,Sean Couturier,20231019EDM@PHI,2023-10-19,2657
2023101904:35CGY7,CGY,3RD,1900-01-01 04:35:00,Adam Ruzicka,Nazem Kadri,Dillon Dube,20231019CGY@BUF,2023-10-19,2675
2023101904:37ANA1,ANA,1ST,1900-01-01 04:37:00,Troy Terry,Trevor Zegras,Pavel Mintyukov,20231019DAL@ANA,2023-10-19,277
2023101904:42TB6,TB,3RD,1900-01-01 04:42:00,Nikita Kucherov,Nick Paul,Brayden Point,20231019VAN@TB,2023-10-19,2682
2023101905:54CAR7,CAR,3RD,1900-01-01 05:54:00,Jesperi Kotkaniemi,Stefan Noesen,Seth Jarvis,20231019CAR@SEA,2023-10-19,2754
2023101906:06BUF2,BUF,1ST,1900-01-01 06:06:00,Erik Johnson,Rasmus Dahlin,Kyle Okposo,20231019CGY@BUF,2023-10-19,366
2023101906:21MIN2,MIN,1ST,1900-01-01 06:21:00,Connor Dewar,Jon Merrill,Dakota Mermis,20231019LA@MIN,2023-10-19,381
2023101906:47DAL5,DAL,3RD,1900-01-01 06:47:00,Miro Heiskanen,Sam Steel,Tyler Seguin,20231019DAL@ANA,2023-10-19,2807
2023101907:02STL3,STL,2ND,1900-01-01 07:02:00,Jakub Vrana,Marco Scandella,Kevin Hayes,20231019ARI@STL,2023-10-19,1622
2023101907:16SEA1,SEA,1ST,1900-01-01 07:16:00,Yanni Gourde,Andre Burakovsky,Eeli Tolvanen,20231019CAR@SEA,2023-10-19,436
2023101907:35CAR2,CAR,1ST,1900-01-01 07:35:00,Jesper Fast,None,None,20231019CAR@SEA,2023-10-19,455
2023101907:44ARI4,ARI,2ND,1900-01-01 07:44:00,Michael Carcone,Sean Durzi,None,20231019ARI@STL,2023-10-19,1664
2023101908:00MIN3,MIN,1ST,1900-01-01 08:00:00,Kirill Kaprizov,Jonas Brodin,Mats Zuccarello,20231019LA@MIN,2023-10-19,480
2023101908:40COL4,COL,3RD,1900-01-01 08:40:00,Nathan MacKinnon,Tomas Tatar,Mikko Rantanen,20231019CHI@COL,2023-10-19,2920
2023101910:03DAL2,DAL,2ND,1900-01-01 10:03:00,Roope Hintz,Joe Pavelski,Miro Heiskanen,20231019DAL@ANA,2023-10-19,1803
2023101910:13LA7,LA,3RD,1900-01-01 10:13:00,Trevor Moore,Arthur Kaliyev,Andreas Englund,20231019LA@MIN,2023-10-19,3013
2023101910:15CGY3,CGY,1ST,1900-01-01 10:15:00,Walker Duehr,A.J. Greer,Yegor Sharangovich,20231019CGY@BUF,2023-10-19,615
2023101911:10TB1,TB,1ST,1900-01-01 11:10:00,Nick Paul,Steven Stamkos,None,20231019VAN@TB,2023-10-19,670
2023101911:13SJ4,SJ,3RD,1900-01-01 11:13:00,Anthony Duclair,Tomas Hertl,None,20231019BOS@SJ,2023-10-19,3073
2023101911:24NSH1,NSH,1ST,1900-01-01 11:24:00,Cole Smith,Michael McCarron,Tyson Barrie,20231019NSH@NYR,2023-10-19,684
2023101911:32WPG6,WPG,3RD,1900-01-01 11:32:00,Alex Iafallo,Mark Scheifele,Nikolaj Ehlers,20231019LV@WPG,2023-10-19,3092
2023101911:46COL1,COL,1ST,1900-01-01 11:46:00,Logan O'Connor,Andrew Cogliano,Josh Manson,20231019CHI@COL,2023-10-19,706
2023101911:52SEA8,SEA,3RD,1900-01-01 11:52:00,Jared McCann,Oliver Bjorkstrand,Alex Wennberg,20231019CAR@SEA,2023-10-19,3112
2023101911:52TOR3,TOR,2ND,1900-01-01 11:52:00,Mitchell Marner,John Tavares,William Nylander,20231019TOR@FLA,2023-10-19,1912
2023101912:13SEA9,SEA,3RD,1900-01-01 12:13:00,Tye Kartye,Matty Beniers,Will Borgen,20231019CAR@SEA,2023-10-19,3133
2023101912:18SEA3,SEA,1ST,1900-01-01 12:18:00,Jaden Schwartz,Kailer Yamamoto,Vince Dunn,20231019CAR@SEA,2023-10-19,738
2023101913:18COL3,COL,2ND,1900-01-01 13:18:00,Devon Toews,Valeri Nichushkin,Tomas Tatar,20231019CHI@COL,2023-10-19,1998
2023101913:51NSH4,NSH,2ND,1900-01-01 13:51:00,Filip Forsberg,Tyson Barrie,Roman Josi,20231019NSH@NYR,2023-10-19,2031
2023101913:58ARI5,ARI,2ND,1900-01-01 13:58:00,Nick Schmaltz,Clayton Keller,None,20231019ARI@STL,2023-10-19,2038
2023101914.0VAN2,VAN,2ND,1900-01-01 00:14:00,Brock Boeser,J.T. Miller,None,20231019VAN@TB,2023-10-19,1214
2023101914:28BUF4,BUF,1ST,1900-01-01 14:28:00,Tage Thompson,Dylan Cozens,Rasmus Dahlin,20231019CGY@BUF,2023-10-19,868
2023101914:38MIN8,MIN,3RD,1900-01-01 14:38:00,Joel Eriksson Ek,Marcus Johansson,Pat Maroon,20231019LA@MIN,2023-10-19,3278
2023101914:42ARI1,ARI,1ST,1900-01-01 14:42:00,Nick Bjugstad,Matias Maccelli,Juuso Valimaki,20231019ARI@STL,2023-10-19,882
2023101915:23EDM3,EDM,2ND,1900-01-01 15:23:00,Zach Hyman,Cody Ceci,Connor McDavid,20231019EDM@PHI,2023-10-19,2123
2023101915:24LV7,LV,3RD,1900-01-01 15:24:00,Jack Eichel,Mark Stone,Shea Theodore,20231019LV@WPG,2023-10-19,3324
2023101915:27LV4,LV,2ND,1900-01-01 15:27:00,Alec Martinez,William Karlsson,Paul Cotter,20231019LV@WPG,2023-10-19,2127
2023101915:43TB4,TB,2ND,1900-01-01 15:43:00,Mikey Eyssimont,Conor Sheary,Nicklaus Perbix,20231019VAN@TB,2023-10-19,2143
2023101915:46LA4,LA,1ST,1900-01-01 15:46:00,Vladislav Gavrikov,Adrian Kempe,Anze Kopitar,20231019LA@MIN,2023-10-19,946
2023101915:50PHI1,PHI,1ST,1900-01-01 15:50:00,Joel Farabee,Bobby Brink,Travis Sanheim,20231019EDM@PHI,2023-10-19,950
2023101915:56CAR10,CAR,3RD,1900-01-01 15:56:00,Seth Jarvis,Jordan Staal,Martin Necas,20231019CAR@SEA,2023-10-19,3356
2023101916:00WPG5,WPG,2ND,1900-01-01 16:00:00,Cole Perfetti,Vladislav Namestnikov,Nikolaj Ehlers,20231019LV@WPG,2023-10-19,2160
2023101916:22NSH2,NSH,1ST,1900-01-01 16:22:00,Cole Smith,None,None,20231019NSH@NYR,2023-10-19,982
2023101916:46BOS3,BOS,2ND,1900-01-01 16:46:00,David Pastrnak,Brandon Carlo,None,20231019BOS@SJ,2023-10-19,2206
2023101916:51SEA11,SEA,3RD,1900-01-01 16:51:00,Oliver Bjorkstrand,Will Borgen,None,20231019CAR@SEA,2023-10-19,3411
2023101916:52TB5,TB,2ND,1900-01-01 16:52:00,Nikita Kucherov,Brandon Hagel,Darren Raddysh,20231019VAN@TB,2023-10-19,2212
2023101916:59ARI8,ARI,3RD,1900-01-01 16:59:00,Sean Durzi,Logan Cooley,None,20231019ARI@STL,2023-10-19,3419
2023101917:08FLA1,FLA,1ST,1900-01-01 17:08:00,Kevin Stenlund,None,None,20231019TOR@FLA,2023-10-19,1028
2023101917:41LA9,LA,3RD,1900-01-01 17:41:00,Adrian Kempe,Matt Roy,None,20231019LA@MIN,2023-10-19,3461
2023101917:42LV2,LV,1ST,1900-01-01 17:42:00,Jonathan Marchessault,Chandler Stephenson,Shea Theodore,20231019LV@WPG,2023-10-19,1062
2023101918:06BOS1,BOS,1ST,1900-01-01 18:06:00,Brad Marchand,John Beecher,None,20231019BOS@SJ,2023-10-19,1086
2023101918:06DAL3,DAL,2ND,1900-01-01 18:06:00,Joe Pavelski,Miro Heiskanen,Jason Robertson,20231019DAL@ANA,2023-10-19,2286
2023101918:11VAN7,VAN,3RD,1900-01-01 18:11:00,J.T. Miller,Filip Hronek,Elias Pettersson,20231019VAN@TB,2023-10-19,3491
2023101918:27BOS2,BOS,1ST,1900-01-01 18:27:00,James van Riemsdyk,None,None,20231019BOS@SJ,2023-10-19,1107
2023101918:29PHI4,PHI,2ND,1900-01-01 18:29:00,Sean Walker,Sean Couturier,None,20231019EDM@PHI,2023-10-19,2309
2023101918:41COL2,COL,1ST,1900-01-01 18:41:00,Ryan Johansen,None,None,20231019CHI@COL,2023-10-19,1121
