goalID,teamID,period,goalTime,goalDate,scorer,gameID,assist1,assist2,seconds
2023102004:30NJ7,NJ,3RD,04:30,2023-10-20,Jack Hughes,20231020NJ@NYI,Ondrej Palat,Jesper Bratt,2670
2023102006:10NYI6,NYI,2ND,06:10,2023-10-20,Bo Horvat,20231020NJ@NYI,Noah Dobson,Matt Martin,1570
2023102002:36NJ5,NJ,2ND,02:36,2023-10-20,Luke Hughes,20231020NJ@NYI,Jack Hughes,Jesper Bratt,1356
2023102001:37NYI4,NYI,2ND,01:37,2023-10-20,Brock Nelson,20231020NJ@NYI,Kyle Palmieri,None,1297
2023102021.0NJ3,NJ,2ND,00:21,2023-10-20,Tyler Toffoli,20231020NJ@NYI,Jack Hughes,Jesper Bratt,1221
2023102019:00NJ2,NJ,1ST,19:00,2023-10-20,Dougie Hamilton,20231020NJ@NYI,Timo Meier,Akira Schmid,1140
2023102012:35NYI1,NYI,1ST,12:35,2023-10-20,Brock Nelson,20231020NJ@NYI,Pierre Engvall,Kyle Palmieri,755
2023102108:49OTT7,OTT,3RD,08:49,2023-10-21,Ridly Greig,20231021DET@OTT,Mathieu Joseph,Jakob Chychrun,2929
2023102107:23DET6,DET,3RD,07:23,2023-10-21,Joseph Veleno,20231021DET@OTT,Daniel Sprong,None,2843
2023102128.0DET5,DET,3RD,00:28,2023-10-21,Dylan Larkin,20231021DET@OTT,Shayne Gostisbehere,Moritz Seider,2428
2023102114:54DET4,DET,2ND,14:54,2023-10-21,David Perron,20231021DET@OTT,Dylan Larkin,Moritz Seider,2094
2023102104:18DET3,DET,2ND,04:18,2023-10-21,Joseph Veleno,20231021DET@OTT,Christian Fischer,None,1458
2023102118:15DET2,DET,1ST,18:15,2023-10-21,Shayne Gostisbehere,20231021DET@OTT,Dylan Larkin,David Perron,1095
2023102116:54OTT1,OTT,1ST,16:54,2023-10-21,Jake Sanderson,20231021DET@OTT,Brady Tkachuk,Josh Norris,1014
2023102107:47ANA3,ANA,3RD,07:47,2023-10-21,Frank Vatrano,20231021ANA@ARI,Jakob Silfverberg,Adam Henrique,2867
