"goalID","scorer","period","teamName","goalDate","gameID"
"2023101404:09MIN6",Matt Boldy,"2ND",Minnesota Wild,2023-10-14,"20231014MIN@TOR"
"2023101404:15BUF3",Jordan Greenway,"2ND",Buffalo Sabres,2023-10-14,"20231014BUF@NYI"
"2023101404:15CAR1",Brent Burns,"1ST",Carolina Hurricanes,2023-10-14,"20231014CAR@LA"
"2023101404:44DET8",Alex DeBrincat,"3RD",Detroit Red Wings,2023-10-14,"20231014TB@DET"
"2023101405:00CAR12",Sebastian Aho,SHO,Carolina Hurricanes,2023-10-14,"20231014CAR@LA"
"2023101405:00CAR14",Martin Necas,SHO,Carolina Hurricanes,2023-10-14,"20231014CAR@LA"
"2023101405:00CAR15",Jordan Martinook,SHO,Carolina Hurricanes,2023-10-14,"20231014CAR@LA"
"2023101405:00COL3",Mikko Rantanen,SHO,Colorado Avalanche,2023-10-14,"20231014COL@SJ"
"2023101405:00LA11",Pierre-Luc Dubois,SHO,Los Angeles Kings,2023-10-14,"20231014CAR@LA"
"2023101405:00LA13",Trevor Moore,SHO,Los Angeles Kings,2023-10-14,"20231014CAR@LA"
"2023101405:00STL3",Robert Thomas,SHO,St. Louis Blues,2023-10-14,"20231014SEA@STL"
"2023101405:11DET1",Daniel Sprong,"1ST",Detroit Red Wings,2023-10-14,"20231014TB@DET"
"2023101405:20LA6",Anze Kopitar,"2ND",Los Angeles Kings,2023-10-14,"20231014CAR@LA"
"2023101405:50PIT4",Jake Guentzel,"3RD",Pittsburgh Penguins,2023-10-14,"20231014CGY@PIT"
"2023101405:57NYI1",Brock Nelson,"1ST",New York Islanders,2023-10-14,"20231014BUF@NYI"
"2023101406:41CAR2",Sebastian Aho,"1ST",Carolina Hurricanes,2023-10-14,"20231014CAR@LA"
"2023101407:49STL2",Jordan Kyrou,"2ND",St. Louis Blues,2023-10-14,"20231014SEA@STL"
"2023101407:56MON2",Tanner Pearson,"2ND",Montreal Canadiens,2023-10-14,"20231014CHI@MON"
"2023101408:20WPG5",Morgan Barron,"2ND",Winnipeg Jets,2023-10-14,"20231014FLA@WPG"
"2023101408:42SJ1",Thomas Bordeleau,"1ST",San Jose Sharks,2023-10-14,"20231014COL@SJ"
"2023101409:25VAN2",Andrei Kuzmenko,"1ST",Vancouver Canucks,2023-10-14,"20231014VAN@EDM"
"2023101409:29EDM6",Ryan Nugent-Hopkins,"2ND",Edmonton Oilers,2023-10-14,"20231014VAN@EDM"
"2023101409:32MIN1",Ryan Hartman,"1ST",Minnesota Wild,2023-10-14,"20231014MIN@TOR"
"2023101409:36CLB2",Boone Jenner,"1ST",Columbus Blue Jackets,2023-10-14,"20231014NYR@CLB"
"2023101409:39TB9",Victor Hedman,"3RD",Tampa Bay Lightning,2023-10-14,"20231014TB@DET"
"2023101409:46TB2",Steven Stamkos,"1ST",Tampa Bay Lightning,2023-10-14,"20231014TB@DET"
"2023101409:51MIN7",Marco Rossi,"2ND",Minnesota Wild,2023-10-14,"20231014MIN@TOR"
"2023101409:54TOR8",Calle Jarnkrok,"3RD",Toronto Maple Leafs,2023-10-14,"20231014MIN@TOR"
"2023101409:55WPG6",Dylan DeMelo,"2ND",Winnipeg Jets,2023-10-14,"20231014FLA@WPG"
"2023101410:23CAR7",Teuvo Teravainen,"2ND",Carolina Hurricanes,2023-10-14,"20231014CAR@LA"
"2023101410:25TOR9",Auston Matthews,"3RD",Toronto Maple Leafs,2023-10-14,"20231014MIN@TOR"
"2023101410:47OTT2",Jakob Chychrun,"1ST",Ottawa Senators,2023-10-14,"20231014PHI@OTT"
"2023101410:53NYR6",Will Cuylle,"3RD",New York Rangers,2023-10-14,"20231014NYR@CLB"
"2023101410:53TB6",Steven Stamkos,"2ND",Tampa Bay Lightning,2023-10-14,"20231014TB@DET"
"2023101410:54TOR2",Auston Matthews,"1ST",Toronto Maple Leafs,2023-10-14,"20231014MIN@TOR"
"2023101411:24LA9",Vladislav Gavrikov,"3RD",Los Angeles Kings,2023-10-14,"20231014CAR@LA"
"2023101412:14TOR10",William Nylander,"3RD",Toronto Maple Leafs,2023-10-14,"20231014MIN@TOR"
"2023101412:30CLB4",Boone Jenner,"2ND",Columbus Blue Jackets,2023-10-14,"20231014NYR@CLB"
"2023101412:35TOR3",Auston Matthews,"1ST",Toronto Maple Leafs,2023-10-14,"20231014MIN@TOR"
"2023101412:52TB3",Brandon Hagel,"1ST",Tampa Bay Lightning,2023-10-14,"20231014TB@DET"
"2023101413:28CAR3",Jesperi Kotkaniemi,"1ST",Carolina Hurricanes,2023-10-14,"20231014CAR@LA"
"2023101413:37CLB5",David Jiricek,"2ND",Columbus Blue Jackets,2023-10-14,"20231014NYR@CLB"
"2023101413:40NYI5",Casey Cizikas,"3RD",New York Islanders,2023-10-14,"20231014BUF@NYI"
